timestamp,target,destination_ip,hop_number,ip_address,rtt1_ms,rtt2_ms,rtt3_ms
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,8,146.97.33.61,4.957,4.736,4.847
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,9,146.97.35.194,4.797,4.792,5.050
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,10,212.187.216.237,5.362,5.890,5.830
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,11,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,12,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,13,154.54.76.30,7.162,7.229,7.387
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,14,154.54.75.150,5.769,5.743,5.795
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,15,154.54.167.69,74.503,74.710,74.853
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,16,154.54.170.69,79.164,79.208,79.256
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,17,154.54.172.170,92.898,92.569,92.711
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,18,154.54.40.110,112.830,112.505,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,19,154.54.40.249,112.144,112.197,112.340
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,20,154.54.165.26,134.673,134.574,134.118
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,21,154.54.166.58,133.996,133.477,133.802
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,22,154.54.44.86,139.037,140.396,139.131
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,23,154.54.27.118,139.135,139.174,139.309
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,24,154.54.86.41,137.358,136.628,137.235
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,25,38.104.84.15,143.749,143.436,144.256
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,26,104.171.226.68,143.072,142.883,142.846
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,27,172.80.0.167,142.454,142.520,142.461
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,28,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,29,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.bijt.net,104.167.84.47,30,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,1,192.168.25.1,0.808,0.535,0.577
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,2,139.222.0.1,5.140,7.386,9.703
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,3,10.0.0.1,6.287,8.697,15.662
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,4,193.62.92.125,1.748,1.349,1.520
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,5,10.11.1.0,1.856,1.817,1.779
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,6,146.97.141.116,4.588,4.429,4.342
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,7,146.97.38.49,4.597,4.558,4.492
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,8,146.97.33.5,5.007,5.359,5.312
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,9,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,10,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,11,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,12,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,13,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,14,62.40.124.43,50.615,50.505,50.496
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,15,62.217.100.72,59.712,70.522,60.159
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,16,62.217.96.169,74.928,61.114,61.915
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,17,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,18,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,19,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,20,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,21,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,22,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,23,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,24,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,25,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,26,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,27,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,28,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,29,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.ntua.gr,147.102.224.101,30,*,,,
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,1,192.168.25.1,0.653,0.592,0.515
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,2,139.222.0.1,10.905,15.978,21.841
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,3,10.0.0.1,4.259,7.012,10.090
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,4,193.62.92.125,1.199,1.144,1.105
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,5,10.11.1.0,1.435,1.379,1.419
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,6,146.97.141.116,4.186,4.243,4.192
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,7,146.97.38.49,4.351,4.675,4.552
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,8,146.97.33.61,4.515,4.634,4.586
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,9,146.97.35.194,4.666,4.554,4.543
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,10,62.115.175.106,4.595,4.488,4.769
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,11,62.115.142.244,7.067,7.102,7.028
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,12,62.115.138.216,5.215,5.148,5.071
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,13,62.115.135.25,12.562,11.268,12.236
Wed 09 Apr 16:00:02 BST 2026,www.harenet.ad.jp,211.125.120.152,14,62.115.138.227,24.839,24.806,24.387
